Date,Low,High,Close,Open
4/5/2008,9181.21,9424.64,9408.81,9181.21
4/6/2008,9298.88,9456.17,9307.06,9408.81
4/7/2008,9194.24,9410.45,9410.18,9307.06
4/8/2008,9391.06,9495.07,9423.58,9410.18
4/9/2008,9365.39,9501.72,9501.72,9423.58
4/12/2008,9491.31,9566.32,9552.63,9501.72
4/13/2008,9489.13,9570.82,9562.23,9552.63
4/14/2008,9535.74,9621.22,9604.2,9562.23
4/15/2008,9511.14,9645.64,9522.93,9604.2
4/16/2008,9522.93,9661.66,9630.37,9522.93
4/19/2008,9494.27,9692.36,9497.16,9630.37
4/20/2008,9295.1,9522.79,9521.61,9497.16
4/21/2008,9521.61,9670.17,9638.79,9521.61
4/22/2008,9596.12,9693,9692.96,9638.79
4/23/2008,9675.57,9820.74,9754.1,9692.96
4/26/2008,9752.57,9915.02,9902.74,9754.1
4/27/2008,9746.67,9957.48,9766.27,9902.74
4/28/2008,9704.65,9908.82,9907.12,9766.27
4/29/2008,9907.12,10099.21,10089.52,9907.12
4/30/2008,9976.87,10098.76,10066.16,10089.52
5/3/2008,9973.95,10121.67,10057.69,10066.16
5/4/2008,9989.41,10064.34,10055.23,10057.69
5/5/2008,9964.45,10077.73,10030.62,10055.23
5/6/2008,9914,10048.56,9926.63,10030.62
5/7/2008,9692.88,9926.63,9771.85,9926.63
5/10/2008,9241,9777.69,9502.96,9771.85
5/11/2008,9502.03,9709.44,9695.29,9502.96
5/12/2008,9566.13,9749.34,9615.05,9695.29
5/13/2008,9511.71,9766.23,9749.53,9615.05
5/14/2008,9721.31,9815.14,9783.19,9749.53
5/17/2008,9640.37,9801.65,9664.54,9783.19
5/18/2008,9572.45,9716.54,9646.44,9664.54
5/19/2008,9547.99,9675.1,9630.65,9646.44
5/20/2008,9630.65,9706.02,9673.25,9630.65
5/21/2008,9623.13,9716.96,9672.62,9673.25
5/24/2008,9600.12,9698,9665.78,9672.62
5/25/2008,9634.13,9767.67,9715.31,9665.78
5/26/2008,9527,9724.83,9553.26,9715.31
5/27/2008,9456.49,9575.1,9482.25,9553.26
5/28/2008,9425.22,9510.2,9491.31,9482.25
5/31/2008,9477.02,9540.04,9529.34,9491.31
6/1/2008,9490.06,9560.23,9503.28,9529.34
6/2/2008,9462.61,9560.83,9516.57,9503.28
6/3/2008,9458.87,9525.36,9501.92,9516.57
6/4/2008,9501.92,9674.67,9661.48,9501.92
6/7/2008,9657.52,9842.3,9765,9661.48
6/8/2008,9696.19,9816.47,9737.31,9765
6/9/2008,9737.31,9839.17,9777.04,9737.31
6/10/2008,9732.34,9844.81,9766.37,9777.04
6/11/2008,9666.15,9782.57,9688.45,9766.37
6/14/2008,9679.09,9734.78,9708.78,9688.45
6/15/2008,9647.93,9745.63,9687.09,9708.78
6/16/2008,9669.38,9782.19,9782.19,9687.09
6/17/2008,9760.81,9836.75,9814.94,9782.19
6/18/2008,9737.82,9836,9778.48,9814.94
6/21/2008,9732.13,9798.31,9768.54,9778.48
6/22/2008,9757.72,9832.07,9801.99,9768.54
6/23/2008,9756.14,9835.55,9789.91,9801.99
6/24/2008,9683.59,9811.43,9731.8,9789.91
6/25/2008,9573.3,9736.55,9581.34,9731.8
6/28/2008,9245.15,9583.32,9313.4,9581.34
6/29/2008,9252.75,9402.52,9324.36,9313.4
6/30/2008,9237.25,9399.05,9352.32,9324.36
7/1/2008,9282.51,9396.7,9385.19,9352.32
7/2/2008,9385.19,9474.78,9467.68,9385.19
7/5/2008,9359.2,9472.85,9378.34,9467.68
7/6/2008,9276.03,9483.23,9483.23,9378.34
7/7/2008,9483.23,9567.26,9517.32,9483.23
7/8/2008,9241.02,9524.23,9293.45,9517.32
7/9/2008,8978.26,9306.07,8998.28,9293.45
7/12/2008,8879.42,9039.63,8995.07,8998.28
7/13/2008,8990.72,9183.15,9145.03,8995.07
7/14/2008,9079.66,9161.98,9099.2,9145.03
7/15/2008,8585.29,9099.34,8706.77,9099.2
7/16/2008,8512.32,8878.91,8861.24,8706.77
7/19/2008,8842,9163.15,9073.8,8861.24
7/20/2008,8921.66,9122.1,9081.65,9073.8
7/21/2008,8996.2,9126.72,9096.16,9081.65
7/22/2008,9035.69,9117.15,9108.42,9096.16
7/23/2008,9039.62,9141.47,9080.87,9108.42
7/26/2008,8961.87,9080.87,9022.31,9080.87
7/27/2008,8931.61,9044.27,8942.89,9022.31
7/28/2008,8771.03,8942.89,8805.45,8942.89
7/29/2008,8664.7,8853.03,8773.05,8805.45
7/30/2008,8702.96,8822.13,8740.74,8773.05
8/2/2008,8519.9,8740.74,8633.5,8740.74
8/3/2008,8608.92,8693.31,8627.24,8633.5
8/4/2008,8454.84,8632,8469.77,8627.24
8/5/2008,8380.02,8505.91,8502.2,8469.77
8/6/2008,8450.15,8539.04,8451.06,8502.2
8/9/2008,8173.57,8451.06,8173.97,8451.06
8/10/2008,7810.54,8178.51,7884.14,8173.97
8/11/2008,7870.13,8094.15,8067.62,7884.14
8/12/2008,8014.15,8199.36,8165.42,8067.62
8/13/2008,8133.43,8228.42,8188.3,8165.42
8/16/2008,8188.3,8334.1,8331.63,8188.3
8/17/2008,8331.15,8433.48,8357.23,8331.63
8/18/2008,8251.01,8411.4,8411.4,8357.23
8/19/2008,8376.32,8477.53,8418.96,8411.4
8/20/2008,8366.56,8469.32,8463.71,8418.96
8/23/2008,8463.71,8902.79,8901.9,8463.71
8/24/2008,8850.64,8994,8899.27,8901.9
8/25/2008,8781.81,8941.08,8933.79,8899.27
8/26/2008,8897.13,9001.21,8981.99,8933.79
8/27/2008,8888.42,8997.56,8898.97,8981.99
8/30/2008,8677.73,8898.97,8713.87,8898.97
8/31/2008,8687.6,8782.85,8757.04,8713.87
9/1/2008,8718.64,8780.02,8751.87,8757.04
9/2/2008,8567.79,8754.8,8590.37,8751.87
9/3/2008,8482.93,8605.38,8504.72,8590.37
9/6/2008,7851.44,8504.72,8044.79,8504.72
9/7/2008,7867.46,8117.7,7907.52,8044.79
9/8/2008,7906.57,8277.01,8245.21,7907.52
9/9/2008,8009.4,8268.05,8030.69,8245.21
9/10/2008,7936.24,8141.9,8128.1,8030.69
9/13/2008,7790.31,8141.29,7802.25,8128.1
9/14/2008,7539.78,7826.12,7759.07,7802.25
9/15/2008,7194,7759.94,7255.15,7759.07
9/16/2008,6932.41,7282.01,7216.71,7255.15
9/17/2008,7216.09,7484.41,7387.25,7216.71
9/20/2008,7387.25,7713.07,7586.68,7387.25
9/21/2008,7450.38,7610.27,7538.65,7586.68
9/22/2008,7425.66,7544.06,7461.14,7538.65
9/24/2008,6961.01,7461.14,7133.47,7461.14
9/27/2008,6885.52,7133.47,6993.13,7133.47
9/28/2008,6992.72,7489.98,7458.5,6993.13
10/6/2008,6724.09,7458.5,6726.6,7458.5
10/7/2008,6120.49,6726.6,6253.72,6726.6
10/8/2008,5696.01,6253.72,6160.52,6253.72
10/11/2008,5734.83,6160.52,5794.87,6160.52
10/12/2008,5639.96,5906.03,5814.6,5794.87
10/13/2008,5814.6,6371.8,6365.23,5814.6
10/14/2008,6365.23,6953.29,6828.96,6365.23
10/15/2008,6289.99,6865.25,6863.15,6828.96
10/18/2008,6476.34,6863.15,6503.94,6863.15
10/19/2008,6183.72,6596,6258.32,6503.94
10/20/2008,6212.38,6444.34,6345.75,6258.32
10/21/2008,6314.95,6546.31,6397.14,6345.75
10/22/2008,6121.96,6397.27,6160.8,6397.14
10/25/2008,5564.96,6160.8,5624.68,6160.8
10/26/2008,5360.75,5624.68,5531.57,5624.68
10/27/2008,5218.13,5561.43,5338.68,5531.57
10/28/2008,5301.91,5656.86,5621.99,5338.68
10/29/2008,5511.95,5884.27,5537.82,5621.99
11/1/2008,5526.99,5878.5,5871.24,5537.82
11/2/2008,5745.95,5895.32,5800.9,5871.24
11/3/2008,5769.9,5939.06,5889.34,5800.9
11/4/2008,5882.23,6047.11,6045.13,5889.34
11/5/2008,5996.16,6224.53,6083.87,6045.13
11/8/2008,5727.33,6083.87,5732.03,6083.87
11/9/2008,5644.59,5845.41,5836.42,5732.03
11/10/2008,5763.64,5907.92,5766.16,5836.42
11/11/2008,5455.71,5766.16,5465.85,5766.16
11/12/2008,5365.05,5485.19,5485.19,5465.85
11/15/2008,5066.63,5485.19,5079.54,5485.19
11/16/2008,4920.61,5149.98,5145.84,5079.54
11/17/2008,5106.74,5245.08,5173.12,5145.84
11/18/2008,4950.64,5174.38,4969.96,5173.12
11/19/2008,4854.78,5026.27,4880.44,4969.96
11/22/2008,4416.55,4880.44,4431.57,4880.44
11/23/2008,4223.7,4442.71,4264.52,4431.57
11/24/2008,4237.49,4582.31,4529.19,4264.52
11/25/2008,4482.19,4694.06,4490.46,4529.19
11/26/2008,4384.28,4532.29,4424.23,4490.46
11/29/2008,4424.23,4851.83,4845.11,4424.23
11/30/2008,4612.78,4976.42,4738.14,4845.11
12/1/2008,4665.65,4872.88,4795.76,4738.14
12/2/2008,4441.45,4795.76,4588.26,4795.76
12/3/2008,4588.01,4705.13,4654.88,4588.26
12/13/2008,4650.54,4874.97,4845.25,4654.88
12/14/2008,4758.17,4856.24,4780.46,4845.25
12/15/2008,4778.71,4866,4842.74,4780.46
12/16/2008,4823.26,4889.2,4841.92,4842.74
12/17/2008,4841.92,4960.55,4903.81,4841.92
12/20/2008,4698.68,4903.81,4705.44,4903.81
12/21/2008,4677.27,4789.45,4774.08,4705.44
12/22/2008,4746,4826.56,4748.04,4774.08
12/23/2008,4727.4,4800.96,4743.89,4748.04
12/24/2008,4641.37,4744.13,4669.05,4743.89
12/27/2008,4532.17,4669.05,4543.89,4669.05
12/28/2008,4532.74,4686.73,4686.68,4543.89
12/29/2008,4655.42,4741.35,4710.77,4686.68
12/30/2008,4689.46,4798.92,4791.27,4710.77
12/31/2008,4777.28,4858.63,4802.99,4791.27
1/3/2009,4800.18,5034.1,5023.22,4802.99
1/4/2009,4988.65,5081.89,5048.31,5023.22
1/5/2009,5035.16,5214.31,5180.35,5048.31
1/6/2009,5175.67,5291.28,5289.73,5180.35
1/7/2009,5248.82,5344.31,5322.22,5289.73
1/10/2009,5049.89,5322.22,5160.65,5322.22
1/11/2009,5140.73,5216.81,5165.61,5160.65
1/12/2009,5091.32,5184.67,5152.54,5165.61
1/13/2009,5027.18,5152.54,5079.7,5152.54
1/14/2009,4929.27,5079.7,4935.33,5079.7
1/17/2009,4604.59,4935.33,4700.31,4935.33
1/18/2009,4614.82,4715.39,4649.67,4700.31
1/19/2009,4613.95,4668.49,4656.48,4649.67
1/20/2009,4351.66,4656.48,4544.29,4656.48
1/21/2009,4426.43,4600.75,4556.8,4544.29
1/24/2009,4556.67,4786.89,4786.83,4556.8
1/25/2009,4696.85,4812.87,4810.04,4786.83
1/26/2009,4754.73,4834.75,4772.81,4810.04
1/27/2009,4769.45,4872.86,4796.9,4772.81
1/28/2009,4764.84,4803.88,4789.49,4796.9
1/31/2009,4783.17,4866.5,4808.9,4789.49
2/1/2009,4749.34,4836.53,4765.92,4808.9
2/2/2009,4702.44,4776.78,4730.51,4765.92
2/3/2009,4722.38,4793.84,4790.01,4730.51
2/4/2009,4767.36,4836.84,4794.56,4790.01
2/7/2009,4793.06,4929.27,4928.65,4794.56
2/8/2009,4884.62,4955.78,4909.83,4928.65
2/9/2009,4877.55,4934.67,4934.63,4909.83
2/10/2009,4899.73,4975.4,4901.52,4934.63
2/11/2009,4788.84,4901.52,4847.62,4901.52
2/14/2009,4847.62,4944.18,4944.18,4847.62
2/15/2009,4888.93,4971.04,4896.35,4944.18
2/16/2009,4875.52,4916.09,4894.2,4896.35
2/17/2009,4675.64,4896.32,4688.89,4894.2
2/18/2009,4633.73,4773.92,4773.78,4688.89
2/21/2009,4640.51,4773.78,4675.66,4773.78
2/22/2009,4662.9,4713.77,4713.75,4675.66
2/23/2009,4706.55,4783.12,4751.45,4713.75
2/24/2009,4472.97,4751.45,4531.52,4751.45
2/25/2009,4517.64,4621.86,4542.11,4531.52
2/28/2009,4327.48,4542.11,4384.59,4542.11
3/1/2009,4384.13,4450.72,4414.56,4384.59
3/2/2009,4322.37,4439.8,4331.74,4414.56
3/3/2009,4199.27,4331.74,4318.51,4331.74
3/4/2009,4313.68,4360.83,4348.26,4318.51
3/7/2009,4272.81,4355.89,4316.91,4348.26
3/8/2009,4186.88,4317.28,4210.68,4316.91
3/9/2009,4068.08,4217.71,4130.01,4210.68
3/10/2009,4078.83,4149.24,4143.23,4130.01
3/11/2009,4116.58,4219.37,4130.15,4143.23
3/14/2009,4127.6,4273.95,4269.91,4130.15
3/15/2009,4249.3,4291.65,4281.26,4269.91
3/16/2009,4273.19,4371.44,4364.89,4281.26
3/17/2009,4303.63,4364.89,4339.55,4364.89
3/18/2009,4339.33,4422.08,4400.21,4339.55
3/21/2009,4400.21,4471.66,4470.7,4400.21
3/22/2009,4424.73,4503.84,4473.61,4470.7
3/23/2009,4468.7,4530.83,4528.57,4473.61
3/24/2009,4528.57,4646.98,4584.21,4528.57
3/25/2009,4534.81,4644.08,4642.99,4584.21
3/28/2009,4638.91,4757.71,4752.37,4642.99
3/29/2009,4707.53,4785.53,4728.55,4752.37
3/30/2009,4614.34,4728.55,4632.51,4728.55
3/31/2009,4600.62,4703.75,4703.75,4632.51
4/1/2009,4693.88,4733.8,4717.38,4703.75
4/4/2009,4717.38,4967.58,4966.38,4717.38
4/5/2009,4933.36,5052.11,5000.95,4966.38
4/6/2009,4993.05,5095.42,5082.54,5000.95
4/7/2009,5026.4,5085.59,5052.55,5082.54
4/8/2009,4946.99,5052.55,5039.03,5052.55
4/11/2009,5039.03,5250.98,5200.17,5039.03
4/12/2009,5168.06,5229.15,5202.57,5200.17
4/13/2009,5179.12,5343.65,5308.42,5202.57
4/14/2009,5308.42,5444.09,5444.09,5308.42
4/15/2009,5313.69,5444.21,5377.24,5444.09
4/18/2009,5377.24,5479.9,5466.49,5377.24
4/19/2009,5215.19,5495.45,5250.22,5466.49
4/20/2009,5096.68,5250.22,5218.69,5250.22
4/21/2009,4893.51,5218.69,5055.93,5218.69
4/22/2009,5053.09,5218.67,5216.84,5055.93
4/25/2009,5216.84,5391.67,5380.22,5216.84
4/26/2009,5328.11,5483.75,5440.3,5380.22
4/27/2009,5386.94,5509.12,5420.79,5440.3
4/28/2009,5402.3,5471.9,5471.9,5420.79
4/29/2009,5470.28,5625.71,5625.51,5471.9
5/2/2009,5622.53,5735.09,5644.11,5625.51
5/3/2009,5563.26,5655.32,5626.76,5644.11
5/4/2009,5626.76,5740.9,5738.29,5626.76
5/5/2009,5714.77,5815.41,5800.29,5738.29
